accumulator_flops,add_flops,bias_flops,einsum_flops,gate_flops,linear_flops,matmul_flops
1.11996e+07,3.98974e+08,1.09991e+07,7.58661e+08,2.02978e+08,1.12631e+10,7.06907e+09
1.15917e+07,3.98974e+08,2.1586e+07,7.58661e+08,2.02978e+08,2.21041e+10,9.83579e+09
1.19838e+07,3.98974e+08,3.21729e+07,7.58661e+08,2.02978e+08,3.29451e+10,1.26025e+10
accumulator_flops,add_flops,bias_flops,einsum_flops,gate_flops,linear_flops,matmul_flops
1.11996e+07,3.98974e+08,1.09991e+07,7.58661e+08,2.02978e+08,1.12631e+10,7.06907e+09
1.15917e+07,3.98974e+08,2.1586e+07,7.58661e+08,2.02978e+08,2.21041e+10,9.83579e+09
1.19838e+07,3.98974e+08,3.21729e+07,7.58661e+08,2.02978e+08,3.29451e+10,1.26025e+10
1.23759e+07,3.98974e+08,4.27599e+07,7.58661e+08,2.02978e+08,4.37861e+10,1.53692e+10
1.31601e+07,3.98974e+08,6.39337e+07,7.58661e+08,2.02978e+08,6.54681e+10,2.09027e+10
1.39444e+07,3.98974e+08,8.51076e+07,7.58661e+08,2.02978e+08,8.71501e+10,2.64361e+10
