local_merge_ratio,r_match,top_1,top_5,add_flops,bias_flops,linear_flops,matmul_flops
0.5,0.25,0.88,0.96,1283596738.56,5564626705.92,5718692012359.68,524980869120.0
0.95,0.5,0.88,0.96,933270036.48,3943134543.36,4069809670717.44,242769884774.4
0.25,0.25,0.84,0.96,1301217730.56,5638960012.8,5796079374827.5205,544407681024.0
0.25,0.5,0.84,0.96,972325232.64,4106453859.84,4240230491750.4,265650704547.84
0.5,0.5,0.84,1.0,935446487.04,3952759733.76,4079709087989.7603,243561407938.56
0.5,0.75,0.84,1.0,685330145.28,2804955594.24,2910061483130.88,123497682370.56
0.75,0.25,0.84,0.96,1280922624.0,5552735485.440001,5706478975057.92,522101024686.08
0.75,0.5,0.84,0.96,934508666.88,3948484247.04,4075345145364.48,243403892490.24
0.75,0.75,0.84,0.96,685709107.2,2806992698.88,2912062543626.24,123630920663.04001
0.75,1.0,0.84,0.96,523803893.76,2070023831.04,2159555647242.24,72548191272.96
0.95,0.25,0.84,1.0,1282802688.0,5560979750.400001,5714976404275.2,523354453770.24
0.5,0.95,0.8,0.96,550452142.08,2191133130.24,2283266371092.48,79675502100.48
0.75,0.95,0.8,0.96,549210562.56,2185967009.28,2277868490588.16,79328953958.40001
0.95,0.75,0.8,1.0,685419356.16,2805727157.76,2910756814848.0,123481194577.92
0.95,0.95,0.8,0.96,550267084.8,2190475845.12,2282548390133.7603,79649360363.52
0.95,1.0,0.8,0.96,524407726.08,2072294284.8,2161994970562.56,72663309434.88
0.25,0.75,0.76,1.0,737573806.08,3021906869.76,3136864759971.84,144208390717.44
0.25,1.0,0.76,0.96,579507609.6,2297233251.84,2398223163064.32,88274591170.56
0.5,1.0,0.76,0.96,524509470.72,2072904752.64,2162581019688.96,72698678231.04001
0.25,0.95,0.72,0.96,606759690.24,2422258613.76,2525637037916.16,96543542476.8
