stride,method,map,map_50,gflops,seconds
1,dense,0.6905,0.9056,174.474,877.2
1,eventful,0.5359,0.7852,363.43001,4712.3
1,tbkv_eventful,0.5326,0.7857,363.43001,5365.8
4,dense,0.6927,0.9017,174.474,283.6
4,eventful,0.4219,0.6654,369.18542,1806.6
4,tbkv_eventful,0.4273,0.6686,369.18542,1982.2
8,dense,0.6924,0.9014,174.474,184.8
8,eventful,0.382,0.6287,376.78968,999.7
8,tbkv_eventful,0.3866,0.6227,376.78968,1029.3
16,dense,0.6891,0.8996,174.474,138.5
16,eventful,0.3206,0.5383,391.72127,730.3
16,tbkv_eventful,0.3195,0.5404,391.72127,918.7
