merging_iterations,local_merge_ratio,r_match,bg_ratio,top_1,top_5,gflops,tokens_first,tokens_last,seconds
10,0.05,0.5,0.5,76.0,94.0,3045.28,180.9,7.3,201.8
10,0.05,0.65,0.5,74.0,94.0,2866.47,177.9,6.8,198.0
10,0.05,0.8,0.5,78.0,92.0,2582.09,172.7,6.3,192.2
10,0.05,0.9,0.5,68.0,90.0,2343.27,168.6,5.7,178.5
10,0.1,0.5,0.5,76.0,94.0,3034.21,180.8,7.3,213.9
10,0.1,0.65,0.5,76.0,92.0,2852.56,177.8,6.9,189.8
10,0.1,0.8,0.5,74.0,92.0,2563.27,172.4,6.4,172.6
10,0.1,0.9,0.5,70.0,90.0,2320.85,168.1,5.7,163.2
10,0.2,0.5,0.5,76.0,94.0,2980.03,180.2,6.8,187.2
10,0.2,0.65,0.5,76.0,92.0,2781.54,176.7,6.4,177.6
10,0.2,0.8,0.5,78.0,92.0,2475.66,170.4,5.5,162.5
10,0.2,0.9,0.5,72.0,92.0,2225.53,165.6,4.7,152.0
