r_match,local_merge_ratio,bg_ratio,merging_iterations,top_1,top_5,gflops,tokens_first,tokens_last,seconds
0.8,0.2,0.3,5,74.0,94.0,2663.19,175.0,122.0,161.9
0.8,0.2,0.3,10,78.0,92.0,2568.2,173.2,112.2,158.9
0.8,0.2,0.3,15,78.0,92.0,2029.68,161.3,72.7,135.1
0.8,0.2,0.4,5,76.0,94.0,2530.59,172.6,110.7,160.6
0.8,0.2,0.4,10,78.0,92.0,2475.35,171.5,105.1,158.5
0.8,0.2,0.4,15,78.0,94.0,1815.65,153.4,61.5,130.3
0.8,0.2,0.5,5,80.0,92.0,2525.87,171.9,113.1,163.8
0.8,0.2,0.5,10,80.0,92.0,2475.64,170.4,108.2,226.1
0.8,0.2,0.5,15,72.0,92.0,1679.57,146.2,56.2,213.7
0.8,0.2,0.6,5,72.0,92.0,2549.14,171.8,118.9,245.8
0.8,0.2,0.6,10,72.0,92.0,2495.88,170.4,113.8,175.6
0.8,0.2,0.6,15,70.0,84.0,1586.34,139.7,54.2,132.0
0.8,0.2,0.7,5,68.0,90.0,2683.16,173.7,137.9,325.2
0.8,0.2,0.7,10,72.0,92.0,2564.02,170.9,125.7,460.8
0.8,0.2,0.7,15,66.0,82.0,1527.49,133.1,54.7,296.6
